date,chipset,product,price,pure_chipset,score,CP
2025-11-18,AMD Radeon RX9060XT-8G,[雙11任搭]藍寶石 脈動 PULSE RX9060XT GAMING OC 8GB(3290MHz/25cm/雙風扇),8888,AMD Radeon RX 9060 XT,3719,0.4184293429342934
2025-11-18,AMD Radeon RX9060XT-8G,Acer Nitro RX9060XT OC 8GB(3320MHz/27cm/雙風扇/三年保固),9990,AMD Radeon RX 9060 XT,3719,0.3722722722722723
2025-11-18,AMD Radeon RX9060XT-8G,撼訊 RX9060XT 8G-A 遊蕩者Reaper(3130MHz/22cm/雙風扇/三年保固) *MIT台灣製,9990,AMD Radeon RX 9060 XT,3719,0.3722722722722723
2025-11-18,AMD Radeon RX9060XT-8G,華擎 RX9060XT Challenger 8GB OC(3290MHz/25cm/雙風扇/註冊四年保),10290,AMD Radeon RX 9060 XT,3719,0.3614188532555879
2025-11-18,INTEL Arc B580 顯示卡,Acer Nitro ARC B580 OC 12GB(2740MHz/27cm/雙風扇/註三年),8490,Intel Arc B580,3062,0.36065959952885746
2025-11-18,AMD Radeon RX9060XT-8G,Acer Nitro RX9060XT 8GB OC White(3320MHz/27cm/雙風扇/三年保固/白),10490,AMD Radeon RX 9060 XT,3719,0.35452812202097234
2025-11-18,AMD Radeon RX9060XT-8G,藍寶石 脈動 PULSE RX9060XT GAMING OC 8GB(3290MHz/25cm/雙風扇/三年保固)金屬背板,10490,AMD Radeon RX 9060 XT,3719,0.35452812202097234
2025-11-18,INTEL Arc B580 顯示卡,Acer Nitro ARC B580 OC 12GB White(2740MHz/27cm/雙風扇/註三年),8690,Intel Arc B580,3062,0.3523590333716916
2025-11-18,INTEL Arc A770 顯示卡,ACER Predator Arc A770 16G(2400MHz/27cm/三年)Predator散熱系統 *少量,8490,Intel Arc A770,2974,0.3502944640753828
2025-11-18,INTEL Arc B570 顯示卡,Acer Nitro Intel ARC B570 OC 10GB(2690MHz/27cm/雙風扇/註三年),7690,Intel Arc B570,2645,0.3439531859557867
2025-11-18,INTEL Arc B580 顯示卡,INTEL 原廠 ARC B580 12G(2670MHz/27.2cm/雙風扇/三年保),8990,Intel Arc B580,3062,0.34060066740823136
2025-11-18,AMD Radeon RX9060XT-8G,華碩 DUAL-RX9060XT-8G(3150MHz/21cm/雙風扇/註冊四年保)金屬背板,10990,AMD Radeon RX 9060 XT,3719,0.3383985441310282
2025-11-18,INTEL Arc B580 顯示卡,華擎 ARC B580 Challenger 12G OC(2740MHz/25cm/雙風扇/註三年),9290,Intel Arc B580,3062,0.32960172228202367
2025-11-18,AMD Radeon RX9060XT-8G,撼訊 RX9060XT 8G-L/OC Hellhound 暗黑犬(3310MHz/33cm/三風扇/註冊四年保固)*MIT台灣製,11490,AMD Radeon RX 9060 XT,3719,0.3236727589208007
2025-11-18,AMD Radeon RX9060XT-8G,技嘉 RX9060XT GAMING OC 8G(3320MHz/28cm/三風扇/註冊五年保),11590,AMD Radeon RX 9060 XT,3719,0.3208800690250216
2025-11-18,AMD Radeon RX9070XT-16G,ACER NITRO RX9070XT 16G OC(3100MHz/30cm/三風扇/三年保),22990,AMD Radeon RX 9070 XT,7249,0.315311004784689
2025-11-18,AMD Radeon RX9070XT-16G,藍寶石 脈動 PULSE RX9070XT GAMING 16GB(2970MHz/32cm/三風扇)全鋁金屬背板,22990,AMD Radeon RX 9070 XT,7249,0.315311004784689
2025-11-18,AMD Radeon RX9070XT-16G,技嘉 RX9070XT GAMING 16G(2970MHz/29cm/三風扇/五年保),22990,AMD Radeon RX 9070 XT,7249,0.315311004784689
2025-11-18,AMD Radeon RX9070XT-16G,撼訊 RX9070XT 16G-A 遊蕩者(2970MHz/31cm/三風扇/三年保)*MIT台灣製,22990,AMD Radeon RX 9070 XT,7249,0.315311004784689
2025-11-18,AMD Radeon RX9070-16G,華碩 PRIME-RX9070-O16G(2610MHz/32cm/三風扇/五年保),19990,AMD Radeon RX 9070,6282,0.3142571285642821
2025-11-18,AMD Radeon RX9070-16G,華碩 PRIME-RX9070-O16G-EVO(2610MHz/32cm/三風扇/五年保),19990,AMD Radeon RX 9070,6282,0.3142571285642821
2025-11-18,AMD Radeon RX9070-16G,技嘉 RX9070 GAMING OC 16G(2700MHz/29cm/三風扇/五年保),19990,AMD Radeon RX 9070,6282,0.3142571285642821
2025-11-18,AMD Radeon RX9070-16G,華擎 RX9070 Challenger 16GB(2520MHz/29cm/三風扇/五年保),19990,AMD Radeon RX 9070,6282,0.3142571285642821
2025-11-18,AMD Radeon RX9070-16G,撼訊 RX9070 16G-A 遊蕩者Reaper(2520MHz/31cm/三風扇/三年保),19990,AMD Radeon RX 9070,6282,0.3142571285642821
2025-11-18,AMD Radeon RX9060XT-16G,華擎 RX9060XT Challenger 16GB OC(3290MHz/25cm/雙風扇/註冊四年保),12190,AMD Radeon RX 9060 XT 16 GB,3793,0.3111566858080394
2025-11-18,AMD Radeon RX9060XT-8G,華擎 RX9060XT Steel Legend 8GB OC(3320MHz/30cm/三風扇/註冊五年保),11990,AMD Radeon RX 9060 XT,3719,0.3101751459549625
2025-11-18,AMD Radeon RX9060XT-8G,華碩 PRIME-RX9060XT-O8G(3330MHz/31cm/三風扇/註冊五年保)金屬背板,11990,AMD Radeon RX 9060 XT,3719,0.3101751459549625
2025-11-18,AMD Radeon RX9060XT-16G,華碩 DUAL-RX9060XT-16G(3250MHz/21cm/雙風扇/註冊四年保),12490,AMD Radeon RX 9060 XT 16 GB,3793,0.30368294635708565
2025-11-18,AMD Radeon RX9060XT-16G,ACER Nitro RX9060XT OC 16GB(3320MHz/27cm/雙風扇/三年保固),12490,AMD Radeon RX 9060 XT 16 GB,3793,0.30368294635708565
2025-11-18,AMD Radeon RX9060XT-16G,技嘉 RX9060XT GAMING 16G(3230MHz/28cm/三風扇/註冊五年保),12490,AMD Radeon RX 9060 XT 16 GB,3793,0.30368294635708565
