DATE,Brand,Product,Price
20200105,NVIDIA / AMD 顯示卡周邊配件,酷碼 VGA Holder 顯卡用支架 千斤頂顯卡支撐架/(0005-KUH00)*任搭顯卡價,369
20200105,NVIDIA / AMD 顯示卡周邊配件,酷碼 ELV8 A.RGB 顯卡支撐架(MAZ-IMGB-N30NA-R1),790
20200105,NVIDIA / AMD 顯示卡周邊配件,NVIDIA GEFORCE RTX NVLINK BRIDGE 3-SLOT(間隔 60mm/RTX 2080 2080Ti 專用),2790
20200105,NVIDIA / AMD 顯示卡周邊配件,NVIDIA GEFORCE RTX NVLINK BRIDGE 4-SLOT(間隔 80mm/RTX 2080 2080Ti 專用),2790
20200105,NVIDIA / AMD 顯示卡周邊配件,華碩 ROG-NVLINK 4 SLOT橋接器(間隔 80mm/RTX 2080 2080Ti 專用/AURA呼吸燈),2990
20200105,NVIDIA / AMD 顯示卡周邊配件,微星 GRAPHICS CARD BOLSTER 氣壓式顯卡千斤頂(3組水平支架)-彩盒,790
20200105,NVIDIA / AMD 顯示卡周邊配件,微星 2WAY SLI HB BRIDGE L (80mm 4 Slots 間隔/10系列專用/龍魂LED燈效),590
20200105,NVIDIA / AMD 顯示卡周邊配件,微星 NVLink GPU Bridge (60mm 3 Slots 間隔/RTX 2080系列專用/LED燈效),2390
20200105,NVIDIA / AMD 顯示卡周邊配件,技嘉 AORUS SLI HB bridge RGB(80mm 2 slot spacing/10系列專用/RGB炫彩),790
20200105,NVIDIA / AMD 顯示卡周邊配件,技嘉 AORUS NVLINK BRIDGE 3-slot(間隔 60mm/RTX 2080 2080Ti 專用/RGB炫彩),2790
20200105,NVIDIA / AMD 顯示卡周邊配件,技嘉 AORUS NVLINK BRIDGE 4-slot(間隔 80mm/RTX 2080 2080Ti 專用/RGB炫彩),2890
20200105,NVIDIA / AMD 顯示卡周邊配件,ZOTAC GAMING NVLink Bridge (3-Slot)(RTX 2080 2080Ti 專用/RGB),2690
20200105,NVIDIA / AMD 外接顯卡轉接盒 (需另購顯卡),Razer Core X 外接顯示卡轉接盒/Thunderbolt 3*1/ATX 650W),8990
20200105,NVIDIA / AMD 外接顯卡轉接盒 (需另購顯卡),Razer Core X 外接顯示卡轉接盒/Thunderbolt 3*1/ATX 650W) 【顯卡加購價】,8590
20200105,NVIDIA / AMD 外接顯卡轉接盒 (需另購顯卡),Razer Core X Chroma 外接式顯示盒/Thunderbolt 3*1/USB *4/G網*1/ATX 700W,13490
20200105,NVIDIA / AMD 外接顯卡轉接盒 (需另購顯卡),Razer Core X Chroma 外接式顯示盒/Thunderbolt 3*1/USB *4/G網*1/ATX 700W【顯卡加購價】,12490
20200105,NVIDIA / AMD 外接顯卡轉接盒 (需另購顯卡),華碩 XG-STATION-PRO外接式顯示盒(T3介面/全鋁機身/MacOS認證)原價,12990
20200105,NVIDIA GeForce 210,微星 N210-MD1G/D3(589MHz/1G DDR3/風扇版/14.5cm/三年保),1090
20200105,NVIDIA GeForce 210,INNO3D 210 1GB DDR3(520MHz/靜音版/16cm/三年保+365天換新),880
20200105,NVIDIA GT710,華碩 GT 710-SL-1GD5(954MHz/1G DDR5/靜音版/16.7cm/註四年),1490
20200105,NVIDIA GT710,華碩 GT 710-SL-2GD5(954MHz/2G DDR5/靜音版/16.7cm/註四年),1690
20200105,NVIDIA GT710,微星 GT710 1GD3H LP(954MHz/1G DDR3/靜音版/14.6cm/三年保),1250
20200105,NVIDIA GT710,微星 GT710 2GD3 LP(954MHz/2G DDR3/風扇版/14.6cm/三年保),1490
20200105,NVIDIA GT710,技嘉 N710D5-1GL(954MHz/1G GDDR5/15.1cm/三年保)無類比,1180
20200105,NVIDIA GT710,技嘉 N710D5-2GL(954MHz/2G GDDR5/15.1cm/三年保)無類比,1490
20200105,NVIDIA GT710,技嘉 N710D5-2GIL(954MHz/2G GDDR5/14.5cm/三年保),1590
20200105,NVIDIA GT710,INNO3D GT710 1GB DDR3(954MHz/靜音版/14cm/三年保+365天換新),980
20200105,NVIDIA GT710,INNO3D GT710 2GB DDR3(954MHz/靜音版/14cm/三年保+365天換新),1290
20200105,NVIDIA GT710,ZOTAC GT710-1GD3-L(71301-20L)(954MHz/1G DDR3/靜音版/14.6cm/註四年),1190
20200105,NVIDIA GT710,ZOTAC GT710 2GD3-L(71302-20L)(954MHz/2G DDR3/靜音版/14.6cm/註四年),1390
20200105,NVIDIA GT730,微星 N730-2GD3V3(700MHz/2G DDR3 128Bit/14.5cm/三年保)雪精靈系列,2150
20200105,NVIDIA GT730,技嘉 N730D5-2GL(902MHz/2G DDR5/14.7cm/三年保),2290
20200105,NVIDIA GT730,EVGA GT730 2GB DDR3 LP(G4552)(902MHz/靜音版/11.5cm/1733/五年保),2190
20200105,NVIDIA GT730,INNO3D GT730 2GB SDDR3(902MHz/靜音版/14cm/三年保+365天換新),1990
20200105,NVIDIA GT1030,華碩 GT1030-SL-2G-BRK(1468MHz/GDDR5/17.3cm/註四年),2890
20200105,NVIDIA GT1030,華碩 PH-GT1030-O2G(1506MHz/GDDR5/18.4cm/註四年),2990
20200105,NVIDIA GT1030,微星 GT1030 2GH LP OC(1518MHz/DDR5/15.3cm/三年保)靜音版,2890
20200105,NVIDIA GT1030,微星 GT1030 2G LP OCV2(1518MHz/DDR5/15cm/三年保)類比輸出,2890
20200105,NVIDIA GT1030,微星 GT1030 AERO 2G OC(1518MHz/DDR5/14.7cm/三年保),2990
20200105,NVIDIA GT1030,技嘉 GT1030 Low Profile 2G(N1030D5-2GL)(1468MHz/GDDR5/15cm/註四年),2690
20200105,NVIDIA GT1030,技嘉 GT1030 OC 2G(N1030OC-2GI)(1544MHz/GDDR5/16.7cm/註四年),2790
20200105,NVIDIA GT1030,EVGA GT1030 SC Passive Low Profile 2GB(1544MHz/GDDR5/16.9cm/6332/五年保),2790
20200105,NVIDIA GT1030,ZOTAC GT1030-2G(P10300C-10M)(1468MHz/GDDR5/16.9cm/註四年)類比輸出,2790
20200105,NVIDIA GT1030,ZOTAC GT1030 2G Low Profile(P10300E-10L)(1468MHz/GDDR5/17.3cm/註四年)類比輸出,2790
20200105,NVIDIA GTX1050 3G,微星 GTX1050 3GT OC飆風(1582MHz/雙/21.5cm/註四年),4390
20200105,NVIDIA GTX1050 3G,EVGA GTX1050 3GB SC GAMING(1455MHz/單風/14.5cm/6153/五年保),4290
20200105,NVIDIA GTX1050Ti,華碩 PH-GTX1050TI-4G鳳凰版(1392MHz/19.2cm/單風扇/註四年),3990
20200105,NVIDIA GTX1050Ti,微星 GTX1050Ti AERO 4G OC(1455MHz/15.5cm/單風扇註四年),3990
20200105,NVIDIA GTX1050Ti,技嘉 GTX1050Ti D5 4G(1392MHz/17.2cm/單風扇/註四年),3990
20200105,NVIDIA GTX1050Ti,ZOTAC GTX1050Ti Mini 4G(P10510A-10L)(1417MHz/單風/14.5cm/註四年)堆料王不含糊,3990
20200105,NVIDIA GTX1050Ti,ZOTAC GTX1050Ti OC 4G(P10510B-10L)(1506MHz/雙風/17.4cm/註四年)限網路下單,3990
20200105,NVIDIA GTX1060,INNO3D GTX1060 6GB GDDR5X Gaming OC(1746MHz/22.5cm/三年保+365天換新),4990
20200105,NVIDIA GTX1650,華碩 PH-GTX1650-O4G(1680MHz/19cm/註四年/單風扇),4990
20200105,NVIDIA GTX1650,華碩 DUAL-GTX1650-O4G(1725MHz/20.4cm/註四年/雙風扇),4990
20200105,NVIDIA GTX1650,華碩 ROG-STRIX-GTX1650-O4G-GAMING(1830MHz/24.2cm/註五年),5990
20200105,NVIDIA GTX1650,微星 GTX1650 4GT LP OC(1695MHz/16.8cm/註四年/附短檔片),5390
20200105,NVIDIA GTX1650,微星 GTX1650 AERO 4G OC(1740MHz/17cm/註四年/單風扇),4890
20200105,NVIDIA GTX1650,微星 GTX1650 VENTUS XS 4G OC(1740MHz/17.7cm/註四年/雙風扇),4990
20200105,NVIDIA GTX1650,微星 GTX1650 GAMING 4G(1695Hz/24.5cm/註四年/雙風扇),4990
20200105,NVIDIA GTX1650,微星 GTX1650 GAMING X 4G(1860MHz/25.9cm/註四年/雙風扇),5890
20200105,NVIDIA GTX1650,技嘉 GTX1650 Mini ITX OC 4G(1680MHz/17cm/註四年/單風扇),4890
20200105,NVIDIA GTX1650,技嘉 GTX1650 OC 4G(1710MHz/19.1cm/註四年/雙風扇),5190
20200105,NVIDIA GTX1650,技嘉 GTX1650 GAMING OC 4G(1815MHz/26.5cm/註五年/雙風扇),5890
20200105,NVIDIA GTX1650,EVGA GTX1650 XC Black GAMING 4G(1665MHz/19cm/1151/五年保/單風扇),4990
